stn_code,stn_delay_all,stn_delay_nowinter,stn_traff
DWP,24.9308078938,23.4143185404,35
DWK,60.4231622994,25.9665343073,33
EVA,9.49340439725,9.76136524105,8
EDD,21.3332546517,19.559760455,10
EKM,12.7317225906,12.1485254406,18
EKR,105.703924922,90.570518815,10
EKC,50.4179475021,41.0297344937,24
EKI,23.3712797719,21.9483716056,24
EKMA,94.0897369547,81.2696108346,26
ELM,8.0526556719,8.59177298025,8
YLM,22.5215341466,21.7463480024,39
ENB,9.28571428571,0.0,2
EE,28.5790844612,24.2306827432,143
ERS,35.4113215173,29.6964221866,145
ERL,12.738554594,12.7663956538,24
ERN,31.9627038507,30.0643868998,107
ED,32.3484992595,26.6049726758,205
YP,53.4742426753,54.4615887444,13
ETW,175.049151829,134.570445633,80
ETUE,105.18201575,98.5074123592,8
ETP,9.6960920262,9.45145651972,9
ETM,20.5290520841,20.8967755816,18
EKN,4.56655260961,4.87629144677,14
FD,128.169875512,96.2401279382,82
FYZ,232.736901822,208.911757771,5
FKB,43.7884408931,31.5722704385,9
FKM,66.1191790126,49.2255153023,38
FLK,58.6872548575,48.7143276412,21
FA,27.0976562703,23.0209161813,80
FHT,77.5760880451,64.1733419864,8
FDB,51.4559995368,37.8550718771,123
FDN,37.8494565413,33.6522966774,49
FDK,27.0902564059,20.2918564535,24
FBD,64.4993981342,50.1437802862,46
FSP,15.3742311359,12.8014771108,15
FTD,10.5346494658,9.85895481819,8
FGR,71.3834161127,58.6000605323,22
FGSB,16.6848773977,14.2621490118,10
FAN,3.88791665204,3.95189834674,16
FTP,208.551431814,167.902938266,40
FTS,63.6871305156,47.7511134117,12
FUT,91.9627170359,78.1260691474,87
FZL,62.3558180623,74.5469962495,12
FKA,15.3261257098,12.0972583271,26
FK,19.0451983182,17.3100572387,34
FZD,194.553354377,160.642465575,49
FZR,22.1909853152,18.2681079204,68
FZP,13.3519355819,11.4125356281,12
FBG,69.1550109931,67.0785545121,18
FKG,81.2361402182,59.3832737028,37
FTG,101.434066539,108.956905674,16
GDPL,8.21816600884,6.92392545313,32
GRCP,22.8659738661,20.7802463047,6
GCH,16.3075412685,15.126332069,8
GHLE,20.4857214371,19.0529566923,23
GDG,17.4269372792,16.6858999871,50
