19771,15640
14714,15667
15909,15635
24888,12520
14887,15903
14712,15933
19225,12518
14733,12526
14887,12507
19611,15609
13007,15645
15610,12345
14731,15658
14732,15647
14711,15619
14888,13141
19226,14056
12138,15959
19108,13147
19023,12525
12456,12517
19107,15934
15910,12235
14519,12435
19224,12506
14713,12423
13008,22423
19024,12508
12137,12514
13008,12510
14502,12516
24887,13142
14501,15620
12482,12424
12481,22424
14526,15904
14525,15960
19223,12436
14520,12236
12486,12505
19612,13148
12455,15668
14625,15636
14626,15639
12485,15632
12047,15654
12048,15652
19415,12346
19416,15631
54701,25631
54703,14055
54704,15651
